frame.number,frame.time_relative,wlan.ta,wlan.ra
7,0.275184000,00:00:00:00:00:08,00:00:00:00:00:03
14,0.285913000,00:00:00:00:00:08,00:00:00:00:00:05
16,0.310098000,00:00:00:00:00:08,00:00:00:00:00:05
23,0.316440000,00:00:00:00:00:08,00:00:00:00:00:03
24,0.317277000,00:00:00:00:00:08,00:00:00:00:00:03
29,0.322360000,00:00:00:00:00:08,00:00:00:00:00:04
33,0.500342000,00:00:00:00:00:08,00:00:00:00:00:0c
41,0.502670000,00:00:00:00:00:08,00:00:00:00:00:04
43,0.538153000,00:00:00:00:00:08,00:00:00:00:00:03
44,0.540448000,00:00:00:00:00:08,00:00:00:00:00:03
45,0.541065000,00:00:00:00:00:08,00:00:00:00:00:03
46,0.548741000,00:00:00:00:00:08,00:00:00:00:00:03
48,0.551967000,00:00:00:00:00:08,00:00:00:00:00:04
57,0.564967000,00:00:00:00:00:08,00:00:00:00:00:0c
67,1.451841000,00:00:00:00:00:08,00:00:00:00:00:0c
73,1.454358000,00:00:00:00:00:08,00:00:00:00:00:0c
79,1.522884000,00:00:00:00:00:08,00:00:00:00:00:0c
85,2.452083000,00:00:00:00:00:08,00:00:00:00:00:0c
91,2.454538000,00:00:00:00:00:08,00:00:00:00:00:0c
95,2.640116000,00:00:00:00:00:08,00:00:00:00:00:05
99,2.642259000,00:00:00:00:00:08,00:00:00:00:00:0c
105,2.696296000,00:00:00:00:00:08,00:00:00:00:00:0c
109,2.722706000,00:00:00:00:00:08,00:00:00:00:00:05
112,2.724963000,00:00:00:00:00:08,00:00:00:00:00:05
114,2.725969000,00:00:00:00:00:08,00:00:00:00:00:0c
124,3.454259000,00:00:00:00:00:08,00:00:00:00:00:0c
128,3.455358000,00:00:00:00:00:08,00:00:00:00:00:0c
132,3.456457000,00:00:00:00:00:08,00:00:00:00:00:0c
140,4.452739000,00:00:00:00:00:08,00:00:00:00:00:0c
146,4.454856000,00:00:00:00:00:08,00:00:00:00:00:0c
150,4.456415000,00:00:00:00:00:08,00:00:00:00:00:0c
156,5.452281000,00:00:00:00:00:08,00:00:00:00:00:0c
162,5.457015000,00:00:00:00:00:08,00:00:00:00:00:0c
168,5.459551000,00:00:00:00:00:08,00:00:00:00:00:0c
174,6.452261000,00:00:00:00:00:08,00:00:00:00:00:0c
180,6.455575000,00:00:00:00:00:08,00:00:00:00:00:0c
186,6.459571000,00:00:00:00:00:08,00:00:00:00:00:0c
192,7.452161000,00:00:00:00:00:08,00:00:00:00:00:0c
200,7.455536000,00:00:00:00:00:08,00:00:00:00:00:0c
204,7.456735000,00:00:00:00:00:08,00:00:00:00:00:0c
210,8.452003000,00:00:00:00:00:08,00:00:00:00:00:0c
218,8.455536000,00:00:00:00:00:08,00:00:00:00:00:0c
222,8.456555000,00:00:00:00:00:08,00:00:00:00:00:0c
228,9.451921000,00:00:00:00:00:08,00:00:00:00:00:0c
234,9.456615000,00:00:00:00:00:08,00:00:00:00:00:0c
240,9.459371000,00:00:00:00:00:08,00:00:00:00:00:0c
248,10.453199000,00:00:00:00:00:08,00:00:00:00:00:0c
254,10.455636000,00:00:00:00:00:08,00:00:00:00:00:0c
258,10.456715000,00:00:00:00:00:08,00:00:00:00:00:0c
266,11.453101000,00:00:00:00:00:08,00:00:00:00:00:0c
270,11.454360000,00:00:00:00:00:08,00:00:00:00:00:0c
276,11.456775000,00:00:00:00:00:08,00:00:00:00:00:0c
282,12.453533000,00:00:00:00:00:08,00:00:00:00:00:0c
288,12.455710000,00:00:00:00:00:08,00:00:00:00:00:0c
