frame.number,frame.time_relative,wlan.ta,wlan.ra
18927,138.703658000,00:00:00:00:00:01,00:00:00:00:00:08
18933,138.705990000,00:00:00:00:00:2e,00:00:00:00:00:08
18949,138.719769000,00:00:00:00:00:2e,00:00:00:00:00:08
18955,138.725414000,00:00:00:00:00:01,00:00:00:00:00:08
18959,138.726627000,00:00:00:00:00:2e,00:00:00:00:00:08
18980,138.735463000,00:00:00:00:00:2e,00:00:00:00:00:08
18988,138.737678000,00:00:00:00:00:2e,00:00:00:00:00:08
18993,138.741454000,00:00:00:00:00:2e,00:00:00:00:00:08
19003,138.745887000,00:00:00:00:00:2e,00:00:00:00:00:08
19025,138.795446000,00:00:00:00:00:2e,00:00:00:00:00:08
19035,138.799827000,00:00:00:00:00:2e,00:00:00:00:00:08
19046,138.811814000,00:00:00:00:00:2e,00:00:00:00:00:08
19055,138.822827000,00:00:00:00:00:2e,00:00:00:00:00:08
19066,138.835446000,00:00:00:00:00:2e,00:00:00:00:00:08
19074,138.837823000,00:00:00:00:00:2e,00:00:00:00:00:08
19104,138.898322000,00:00:00:00:00:06,00:00:00:00:00:08
19116,138.913827000,00:00:00:00:00:2e,00:00:00:00:00:08
19126,138.930446000,00:00:00:00:00:2e,00:00:00:00:00:08
19134,138.933437000,00:00:00:00:00:2e,00:00:00:00:00:08
19145,138.939827000,00:00:00:00:00:2e,00:00:00:00:00:08
19173,138.999959000,00:00:00:00:00:2e,00:00:00:00:00:08
19451,139.999959000,00:00:00:00:00:2e,00:00:00:00:00:08
19713,141.000313000,00:00:00:00:00:2e,00:00:00:00:00:08
19714,141.001910000,00:00:00:00:00:2e,00:00:00:00:00:08
19715,141.004627000,00:00:00:00:00:2e,00:00:00:00:00:08
19717,141.007104000,00:00:00:00:00:2e,00:00:00:00:00:08
19720,141.020658000,00:00:00:00:00:2e,00:00:00:00:00:08
19721,141.024895000,00:00:00:00:00:2e,00:00:00:00:00:08
19724,141.037867000,00:00:00:00:00:2e,00:00:00:00:00:08
19729,141.051091000,00:00:00:00:00:2e,00:00:00:00:00:08
19734,141.066798000,00:00:00:00:00:2e,00:00:00:00:00:08
19738,141.082711000,00:00:00:00:00:2e,00:00:00:00:00:08
19741,141.098714000,00:00:00:00:00:2e,00:00:00:00:00:08
19743,141.101250000,00:00:00:00:00:2e,00:00:00:00:00:08
19745,141.105627000,00:00:00:00:00:2e,00:00:00:00:00:08
19749,141.113717000,00:00:00:00:00:2e,00:00:00:00:00:08
19756,141.132167000,00:00:00:00:00:2e,00:00:00:00:00:08
19757,141.137742000,00:00:00:00:00:2e,00:00:00:00:00:08
19762,141.149110000,00:00:00:00:00:2e,00:00:00:00:00:08
19763,141.152427000,00:00:00:00:00:2e,00:00:00:00:00:08
19767,141.171549000,00:00:00:00:00:2e,00:00:00:00:00:08
19776,141.204741000,00:00:00:00:00:2e,00:00:00:00:00:08
19782,141.220373000,00:00:00:00:00:2e,00:00:00:00:00:08
19789,141.242039000,00:00:00:00:00:2e,00:00:00:00:00:08
19791,141.243895000,00:00:00:00:00:2e,00:00:00:00:00:08
