frame.number,frame.time_relative,wlan.ta,wlan.ra
73,0.313953000,00:00:00:00:00:03,00:00:00:00:00:08
82,0.349945000,00:00:00:00:00:03,00:00:00:00:00:08
208,0.816843000,00:00:00:00:00:03,00:00:00:00:00:08
370,1.499959000,00:00:00:00:00:03,00:00:00:00:00:08
371,1.500836000,00:00:00:00:00:03,00:00:00:00:00:08
448,2.499959000,00:00:00:00:00:03,00:00:00:00:00:08
449,2.500936000,00:00:00:00:00:03,00:00:00:00:00:08
497,3.499959000,00:00:00:00:00:03,00:00:00:00:00:08
498,3.504390000,00:00:00:00:00:03,00:00:00:00:00:08
541,4.499959000,00:00:00:00:00:03,00:00:00:00:00:08
542,4.504270000,00:00:00:00:00:03,00:00:00:00:00:08
584,5.499959000,00:00:00:00:00:03,00:00:00:00:00:08
585,5.500696000,00:00:00:00:00:03,00:00:00:00:00:08
629,6.499959000,00:00:00:00:00:03,00:00:00:00:00:08
630,6.501656000,00:00:00:00:00:03,00:00:00:00:00:08
631,6.503645000,00:00:00:00:00:03,00:00:00:00:00:08
673,7.499959000,00:00:00:00:00:03,00:00:00:00:00:08
674,7.502454000,00:00:00:00:00:03,00:00:00:00:00:08
717,8.499959000,00:00:00:00:00:03,00:00:00:00:00:08
718,8.501176000,00:00:00:00:00:03,00:00:00:00:00:08
760,9.499959000,00:00:00:00:00:03,00:00:00:00:00:08
761,9.500796000,00:00:00:00:00:03,00:00:00:00:00:08
805,10.499959000,00:00:00:00:00:03,00:00:00:00:00:08
806,10.504330000,00:00:00:00:00:03,00:00:00:00:00:08
849,11.499959000,00:00:00:00:00:03,00:00:00:00:00:08
850,11.500996000,00:00:00:00:00:03,00:00:00:00:00:08
851,11.504583000,00:00:00:00:00:03,00:00:00:00:00:08
894,12.499959000,00:00:00:00:00:03,00:00:00:00:00:08
895,12.503451000,00:00:00:00:00:03,00:00:00:00:00:08
940,13.499959000,00:00:00:00:00:03,00:00:00:00:00:08
941,13.502174000,00:00:00:00:00:03,00:00:00:00:00:08
983,14.499959000,00:00:00:00:00:03,00:00:00:00:00:08
984,14.500676000,00:00:00:00:00:03,00:00:00:00:00:08
1028,15.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1029,15.501096000,00:00:00:00:00:03,00:00:00:00:00:08
1030,15.504789000,00:00:00:00:00:03,00:00:00:00:00:08
1073,16.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1074,16.504529000,00:00:00:00:00:03,00:00:00:00:00:08
1116,17.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1117,17.502932000,00:00:00:00:00:03,00:00:00:00:00:08
1160,18.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1161,18.502114000,00:00:00:00:00:03,00:00:00:00:00:08
1203,19.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1204,19.501036000,00:00:00:00:00:03,00:00:00:00:00:08
1246,20.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1247,20.500696000,00:00:00:00:00:03,00:00:00:00:00:08
1289,21.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1290,21.503631000,00:00:00:00:00:03,00:00:00:00:00:08
1291,21.504848000,00:00:00:00:00:03,00:00:00:00:00:08
1333,22.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1334,22.501116000,00:00:00:00:00:03,00:00:00:00:00:08
1335,22.507799000,00:00:00:00:00:03,00:00:00:00:00:08
1378,23.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1379,23.500976000,00:00:00:00:00:03,00:00:00:00:00:08
1425,24.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1426,24.501676000,00:00:00:00:00:03,00:00:00:00:00:08
1427,24.505763000,00:00:00:00:00:03,00:00:00:00:00:08
1428,24.511316000,00:00:00:00:00:03,00:00:00:00:00:08
1475,25.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1476,25.500596000,00:00:00:00:00:03,00:00:00:00:00:08
1519,26.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1520,26.504390000,00:00:00:00:00:03,00:00:00:00:00:08
1563,27.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1564,27.503231000,00:00:00:00:00:03,00:00:00:00:00:08
1565,27.504188000,00:00:00:00:00:03,00:00:00:00:00:08
1610,28.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1611,28.505448000,00:00:00:00:00:03,00:00:00:00:00:08
1655,29.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1656,29.503332000,00:00:00:00:00:03,00:00:00:00:00:08
1698,30.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1699,30.500996000,00:00:00:00:00:03,00:00:00:00:00:08
1742,31.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1743,31.503671000,00:00:00:00:00:03,00:00:00:00:00:08
1744,31.506108000,00:00:00:00:00:03,00:00:00:00:00:08
1786,32.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1787,32.500896000,00:00:00:00:00:03,00:00:00:00:00:08
1830,33.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1831,33.502614000,00:00:00:00:00:03,00:00:00:00:00:08
1832,33.507007000,00:00:00:00:00:03,00:00:00:00:00:08
1874,34.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1875,34.500776000,00:00:00:00:00:03,00:00:00:00:00:08
1917,35.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1918,35.502334000,00:00:00:00:00:03,00:00:00:00:00:08
1960,36.499959000,00:00:00:00:00:03,00:00:00:00:00:08
1961,36.501196000,00:00:00:00:00:03,00:00:00:00:00:08
1962,36.506904000,00:00:00:00:00:03,00:00:00:00:00:08
2004,37.499959000,00:00:00:00:00:03,00:00:00:00:00:08
2005,37.501934000,00:00:00:00:00:03,00:00:00:00:00:08
2048,38.499959000,00:00:00:00:00:03,00:00:00:00:00:08
