frame.number,frame.time_relative,wlan.ra,wlan.ta
168,0.595337000,00:00:00:00:00:08,00:00:00:00:00:03
242,1.310363000,00:00:00:00:00:08,00:00:00:00:00:03
244,1.311338000,00:00:00:00:00:08,00:00:00:00:00:03
270,1.499959000,00:00:00:00:00:08,00:00:00:00:00:03
271,1.503092000,00:00:00:00:00:08,00:00:00:00:00:03
314,2.499959000,00:00:00:00:00:08,00:00:00:00:00:03
315,2.500876000,00:00:00:00:00:08,00:00:00:00:00:03
338,3.499959000,00:00:00:00:00:08,00:00:00:00:00:03
339,3.501336000,00:00:00:00:00:08,00:00:00:00:00:03
340,3.506243000,00:00:00:00:00:08,00:00:00:00:00:03
341,3.507160000,00:00:00:00:00:08,00:00:00:00:00:03
359,4.499959000,00:00:00:00:00:08,00:00:00:00:00:03
360,4.503312000,00:00:00:00:00:08,00:00:00:00:00:03
378,5.499959000,00:00:00:00:00:08,00:00:00:00:00:03
379,5.501496000,00:00:00:00:00:08,00:00:00:00:00:03
380,5.507819000,00:00:00:00:00:08,00:00:00:00:00:03
398,6.499959000,00:00:00:00:00:08,00:00:00:00:00:03
399,6.502454000,00:00:00:00:00:08,00:00:00:00:00:03
417,7.499959000,00:00:00:00:00:08,00:00:00:00:00:03
418,7.500696000,00:00:00:00:00:08,00:00:00:00:00:03
436,8.499959000,00:00:00:00:00:08,00:00:00:00:00:03
437,8.500856000,00:00:00:00:00:08,00:00:00:00:00:03
455,9.499959000,00:00:00:00:00:08,00:00:00:00:00:03
456,9.503012000,00:00:00:00:00:08,00:00:00:00:00:03
475,10.499959000,00:00:00:00:00:08,00:00:00:00:00:03
476,10.505607000,00:00:00:00:00:08,00:00:00:00:00:03
494,11.499959000,00:00:00:00:00:08,00:00:00:00:00:03
495,11.501296000,00:00:00:00:00:08,00:00:00:00:00:03
513,12.499959000,00:00:00:00:00:08,00:00:00:00:00:03
514,12.501136000,00:00:00:00:00:08,00:00:00:00:00:03
533,13.499959000,00:00:00:00:00:08,00:00:00:00:00:03
534,13.503012000,00:00:00:00:00:08,00:00:00:00:00:03
554,14.499959000,00:00:00:00:00:08,00:00:00:00:00:03
555,14.500736000,00:00:00:00:00:08,00:00:00:00:00:03
573,15.499959000,00:00:00:00:00:08,00:00:00:00:00:03
574,15.501855000,00:00:00:00:00:08,00:00:00:00:00:03
575,15.507179000,00:00:00:00:00:08,00:00:00:00:00:03
594,16.499959000,00:00:00:00:00:08,00:00:00:00:00:03
595,16.501954000,00:00:00:00:00:08,00:00:00:00:00:03
614,17.499959000,00:00:00:00:00:08,00:00:00:00:00:03
615,17.500816000,00:00:00:00:00:08,00:00:00:00:00:03
616,17.504843000,00:00:00:00:00:08,00:00:00:00:00:03
617,17.507300000,00:00:00:00:00:08,00:00:00:00:00:03
636,18.499959000,00:00:00:00:00:08,00:00:00:00:00:03
637,18.501336000,00:00:00:00:00:08,00:00:00:00:00:03
638,18.504963000,00:00:00:00:00:08,00:00:00:00:00:03
656,19.499959000,00:00:00:00:00:08,00:00:00:00:00:03
657,19.501136000,00:00:00:00:00:08,00:00:00:00:00:03
658,19.501853000,00:00:00:00:00:08,00:00:00:00:00:03
676,20.499959000,00:00:00:00:00:08,00:00:00:00:00:03
677,20.503572000,00:00:00:00:00:08,00:00:00:00:00:03
678,20.505069000,00:00:00:00:00:08,00:00:00:00:00:03
698,21.499959000,00:00:00:00:00:08,00:00:00:00:00:03
699,21.500616000,00:00:00:00:00:08,00:00:00:00:00:03
700,21.504563000,00:00:00:00:00:08,00:00:00:00:00:03
718,22.499959000,00:00:00:00:00:08,00:00:00:00:00:03
719,22.502254000,00:00:00:00:00:08,00:00:00:00:00:03
720,22.507959000,00:00:00:00:00:08,00:00:00:00:00:03
739,23.499959000,00:00:00:00:00:08,00:00:00:00:00:03
740,23.502892000,00:00:00:00:00:08,00:00:00:00:00:03
758,24.499959000,00:00:00:00:00:08,00:00:00:00:00:03
759,24.501914000,00:00:00:00:00:08,00:00:00:00:00:03
777,25.499959000,00:00:00:00:00:08,00:00:00:00:00:03
778,25.500576000,00:00:00:00:00:08,00:00:00:00:00:03
779,25.506684000,00:00:00:00:00:08,00:00:00:00:00:03
799,26.499959000,00:00:00:00:00:08,00:00:00:00:00:03
800,26.501416000,00:00:00:00:00:08,00:00:00:00:00:03
801,26.503212000,00:00:00:00:00:08,00:00:00:00:00:03
820,27.499959000,00:00:00:00:00:08,00:00:00:00:00:03
821,27.500916000,00:00:00:00:00:08,00:00:00:00:00:03
822,27.503672000,00:00:00:00:00:08,00:00:00:00:00:03
841,28.499959000,00:00:00:00:00:08,00:00:00:00:00:03
842,28.504570000,00:00:00:00:00:08,00:00:00:00:00:03
860,29.499959000,00:00:00:00:00:08,00:00:00:00:00:03
861,29.500696000,00:00:00:00:00:08,00:00:00:00:00:03
880,30.499959000,00:00:00:00:00:08,00:00:00:00:00:03
881,30.500776000,00:00:00:00:00:08,00:00:00:00:00:03
900,31.499959000,00:00:00:00:00:08,00:00:00:00:00:03
901,31.500916000,00:00:00:00:00:08,00:00:00:00:00:03
922,32.499959000,00:00:00:00:00:08,00:00:00:00:00:03
923,32.505447000,00:00:00:00:00:08,00:00:00:00:00:03
941,33.499959000,00:00:00:00:00:08,00:00:00:00:00:03
942,33.500736000,00:00:00:00:00:08,00:00:00:00:00:03
943,33.506686000,00:00:00:00:00:08,00:00:00:00:00:03
963,34.499959000,00:00:00:00:00:08,00:00:00:00:00:03
964,34.500776000,00:00:00:00:00:08,00:00:00:00:00:03
982,35.499959000,00:00:00:00:00:08,00:00:00:00:00:03
983,35.501914000,00:00:00:00:00:08,00:00:00:00:00:03
984,35.505024000,00:00:00:00:00:08,00:00:00:00:00:03
1002,36.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1003,36.501995000,00:00:00:00:00:08,00:00:00:00:00:03
1022,37.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1023,37.503452000,00:00:00:00:00:08,00:00:00:00:00:03
1044,38.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1045,38.504550000,00:00:00:00:00:08,00:00:00:00:00:03
1066,39.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1067,39.505389000,00:00:00:00:00:08,00:00:00:00:00:03
1085,40.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1086,40.500976000,00:00:00:00:00:08,00:00:00:00:00:03
1105,41.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1106,41.500996000,00:00:00:00:00:08,00:00:00:00:00:03
1124,42.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1125,42.504090000,00:00:00:00:00:08,00:00:00:00:00:03
1143,43.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1144,43.501954000,00:00:00:00:00:08,00:00:00:00:00:03
1163,44.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1164,44.503632000,00:00:00:00:00:08,00:00:00:00:00:03
1165,44.505049000,00:00:00:00:00:08,00:00:00:00:00:03
1184,45.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1185,45.503732000,00:00:00:00:00:08,00:00:00:00:00:03
1186,45.504469000,00:00:00:00:00:08,00:00:00:00:00:03
1205,46.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1206,46.501256000,00:00:00:00:00:08,00:00:00:00:00:03
1207,46.504103000,00:00:00:00:00:08,00:00:00:00:00:03
1225,47.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1226,47.502912000,00:00:00:00:00:08,00:00:00:00:00:03
1245,48.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1246,48.501156000,00:00:00:00:00:08,00:00:00:00:00:03
1265,49.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1266,49.502274000,00:00:00:00:00:08,00:00:00:00:00:03
1285,50.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1286,50.502474000,00:00:00:00:00:08,00:00:00:00:00:03
1287,50.507880000,00:00:00:00:00:08,00:00:00:00:00:03
1307,51.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1308,51.500776000,00:00:00:00:00:08,00:00:00:00:00:03
1326,52.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1327,52.503252000,00:00:00:00:00:08,00:00:00:00:00:03
1345,53.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1346,53.501016000,00:00:00:00:00:08,00:00:00:00:00:03
1366,54.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1367,54.503152000,00:00:00:00:00:08,00:00:00:00:00:03
1385,55.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1386,55.500836000,00:00:00:00:00:08,00:00:00:00:00:03
1406,56.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1407,56.500936000,00:00:00:00:00:08,00:00:00:00:00:03
1428,57.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1429,57.502095000,00:00:00:00:00:08,00:00:00:00:00:03
1448,58.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1449,58.500856000,00:00:00:00:00:08,00:00:00:00:00:03
1468,59.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1469,59.503012000,00:00:00:00:00:08,00:00:00:00:00:03
1489,60.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1490,60.503572000,00:00:00:00:00:08,00:00:00:00:00:03
1509,61.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1510,61.503172000,00:00:00:00:00:08,00:00:00:00:00:03
1529,62.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1530,62.500876000,00:00:00:00:00:08,00:00:00:00:00:03
1548,63.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1549,63.501076000,00:00:00:00:00:08,00:00:00:00:00:03
1568,64.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1569,64.501875000,00:00:00:00:00:08,00:00:00:00:00:03
1587,65.499959000,00:00:00:00:00:08,00:00:00:00:00:03
1588,65.504030000,00:00:00:00:00:08,00:00:00:00:00:03
