frame.number,frame.time_relative,ip.src,ip.dst
76,0.528063000,,
102,0.554429000,,
130,0.780636000,,
217,1.465707000,,
222,1.469430000,,
228,1.498455000,,
230,1.525707000,,
249,1.540686000,,
311,2.466744000,,
313,2.468919000,,
333,2.738886000,,
359,3.466544000,,
361,3.470218000,,
393,4.467482000,,
395,4.468880000,,
427,5.466324000,,
429,5.467422000,,
461,6.466724000,,
462,6.467956000,,
464,6.470411000,,
496,7.466504000,,
498,7.467702000,,
530,8.466344000,,
531,8.467261000,,
533,8.470097000,,
565,9.467962000,,
566,9.469440000,,
568,9.472015000,,
600,10.466424000,,
602,10.468619000,,
634,11.467064000,,
635,11.467762000,,
637,11.473974000,,
669,12.466484000,,
671,12.467722000,,
672,12.470112000,,
704,13.466624000,,
706,13.470098000,,
738,14.469020000,,
740,14.470197000,,
772,15.466904000,,
774,15.468042000,,
775,15.470631000,,
776,15.475264000,,
808,16.466864000,,
810,16.468023000,,
842,17.469040000,,
844,17.471536000,,
876,18.466644000,,
878,18.468819000,,
910,19.466664000,,
912,19.468282000,,
913,19.471391000,,
945,20.466364000,,
947,20.468440000,,
979,21.467542000,,
981,21.469799000,,
1013,22.468222000,,
1015,22.469320000,,
1047,23.467622000,,
1049,23.470157000,,
1081,24.466484000,,
1082,24.467102000,,
1083,24.467919000,,
1085,24.470635000,,
1117,25.467602000,,
1119,25.471278000,,
1151,26.466464000,,
1153,26.471197000,,
1185,27.466664000,,
1187,27.468819000,,
1219,28.466384000,,
1221,28.467443000,,
1253,29.466324000,,
1255,29.469638000,,
1287,30.466624000,,
1289,30.468063000,,
1321,31.466964000,,
1322,31.467836000,,
1324,31.473908000,,
1356,32.466904000,,
1358,32.470499000,,
1390,33.467224000,,
1391,33.467816000,,
1393,33.470251000,,
1425,34.466524000,,
1427,34.467642000,,
1428,34.473428000,,
1460,35.466344000,,
1462,35.470319000,,
1494,36.468780000,,
1496,36.471396000,,
1528,37.466384000,,
1530,37.471178000,,
1562,38.467342000,,
1563,38.469040000,,
1565,38.471636000,,
1597,39.466584000,,
1599,39.467662000,,
1600,39.472355000,,
1632,40.469200000,,
1634,40.470339000,,
1666,41.466684000,,
1668,41.470339000,,
1701,42.466864000,,
1703,42.468222000,,
1704,42.473967000,,
1736,43.466804000,,
1738,43.467863000,,
1770,44.466784000,,
1772,44.468222000,,
1805,45.467602000,,
1807,45.468661000,,
1839,46.468262000,,
1841,46.469301000,,
1873,47.466624000,,
1875,47.469699000,,
1907,48.467662000,,
1909,48.469857000,,
1941,49.466484000,,
1943,49.471116000,,
1975,50.466384000,,
1977,50.471355000,,
2009,51.466904000,,
2011,51.471456000,,
2043,52.466504000,,
2044,52.467156000,,
2046,52.470251000,,
2078,53.466624000,,
2080,53.467882000,,
2112,54.466444000,,
2114,54.469000000,,
2146,55.466404000,,
2148,55.469260000,,
2180,56.466544000,,
2182,56.469020000,,
2183,56.470258000,,
2215,57.466584000,,
2217,57.467942000,,
2218,57.469971000,,
2250,58.466364000,,
2252,58.468720000,,
2284,59.466724000,,
2286,59.467782000,,
2318,60.466364000,,
2320,60.471175000,,
2352,61.467104000,,
2353,61.467696000,,
2355,61.469991000,,
2387,62.466744000,,
2388,62.467616000,,
2390,62.470171000,,
2422,63.468980000,,
2424,63.471196000,,
2456,64.466604000,,
2458,64.469019000,,
2490,65.469100000,,
2492,65.470339000,,
2525,66.469100000,,
2527,66.470159000,,
