"No.","Time","Source","Destination","Protocol","Length","Info"
"95","0.564145","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"106","0.577462","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"107","0.578359","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"108","0.579356","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"248","2.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"268","2.845606","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"276","3.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"277","3.251384","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"288","4.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"289","4.251224","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"300","5.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"301","5.251464","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"313","6.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"314","6.253880","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"315","6.256617","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"327","7.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"328","7.252502","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"329","7.256192","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"341","8.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"342","8.250844","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"354","9.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"355","9.255676","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"367","10.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"368","10.253240","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"379","11.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"380","11.250844","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"381","11.256853","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"392","12.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"393","12.253220","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"404","13.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"405","13.254858","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"406","13.257816","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"417","14.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"418","14.255836","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"429","15.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"430","15.254798","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"442","16.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"443","16.252782","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"444","16.256852","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"445","16.262865","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"456","17.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"457","17.253280","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"469","18.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"470","18.252683","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"481","19.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"482","19.252602","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"493","20.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"494","20.251364","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"505","21.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"506","21.250824","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"507","21.255310","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"520","22.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"521","22.250924","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
"532","23.250207","00:00:00_00:00:02 (00:00:00:00:00:02) (TA)","00:00:00_00:00:07 (00:00:00:00:00:07) (RA)","802.11","20","Request-to-send, Flags=........"
